model,split,atom_acc,exact_3,reassembly
dictionary,random,0.976054938104274,1.0,1.0
xgboost,random,0.7653383934218849,0.8333333333333334,0.8333333333333334
gnn_scratch,random,0.9219300623475196,0.9880952380952381,0.9166666666666666
gnn_pretrained,random,0.9149724405891388,0.9821428571428571,0.875
dictionary,unseen_warhead,0.9729949421965318,1.0,1.0
xgboost,unseen_warhead,0.6488439306358381,0.8947368421052632,0.8947368421052632
gnn_scratch,unseen_warhead,0.900650289017341,0.9883040935672515,0.7719298245614035
gnn_pretrained,unseen_warhead,0.8739161849710982,1.0,0.9122807017543859
dictionary,unseen_e3,0.9559294871794872,1.0,1.0
xgboost,unseen_e3,0.6395833333333333,0.9184782608695652,0.9184782608695652
gnn_scratch,unseen_e3,0.8868589743589743,0.967391304347826,0.8097826086956522
gnn_pretrained,unseen_e3,0.8528846153846154,0.9510869565217391,0.6739130434782609
dictionary,fingerprint_ood,0.9612360070311777,1.0,1.0
xgboost,fingerprint_ood,0.6502914238134888,0.8562874251497006,0.8562874251497006
gnn_scratch,fingerprint_ood,0.8531779072994726,0.8802395209580839,0.7305389221556886
gnn_pretrained,fingerprint_ood,0.8657600148024794,0.9760479041916168,0.688622754491018
dictionary,newer_chemotype,0.9864581346557314,1.0,1.0
xgboost,newer_chemotype,0.5315658973869922,0.6167664670658682,0.6167664670658682
gnn_scratch,newer_chemotype,0.9229448788861339,0.8982035928143712,0.7844311377245509
gnn_pretrained,newer_chemotype,0.9197024604234217,0.9760479041916168,0.844311377245509
